"Filename","Spell","Level","School","Prompt"
"Produce Flame.png","Produce Flame","0","Conjuration","A flame in your palm, to light the way or to throw. Rendered in orange and gold flame. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Spare the Dying.png","Spare the Dying","0","Necromancy","Stabilises a dying creature. Rendered in soft green-white healing light. Grim, touching on death. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Light.png","Light","0","Evocation","An object sheds light. Rendered in clear white light. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Guidance.png","Guidance","0","Divination","Adds a d4 to one ability check. An eye, a sigil, or revealed knowledge. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Resistance.png","Resistance","0","Abjuration","Adds a d4 to one saving throw. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Mage Hand.png","Mage Hand","0","Conjuration","A spectral hand manipulates objects. Not yet modelled. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Minor Illusion.png","Minor Illusion","0","Illusion","A sound or image. Not yet modelled. Something half-real and shifting. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Prestidigitation.png","Prestidigitation","0","Transmutation","Minor magical tricks. Not yet modelled. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Druidcraft.png","Druidcraft","0","Transmutation","Small natural effects. Not yet modelled. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Dancing Lights.png","Dancing Lights","0","Evocation","Four floating lights. Rendered in clear white light. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Message.png","Message","0","Transmutation","A whispered message at range. Not yet modelled. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Mending.png","Mending","0","Transmutation","Repairs a broken object. Not yet modelled. Rendered in soft green-white healing light. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"True Strike.png","True Strike","0","Divination","Advantage on your next attack. An eye, a sigil, or revealed knowledge. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Blade Ward.png","Blade Ward","0","Abjuration","Resistance to weapon damage. Rendered in translucent blue protective light. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Magic Missile.png","Magic Missile","1","Evocation","Three darts of force that never miss; one more per slot level above 1st. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Burning Hands.png","Burning Hands","1","Evocation","A 15-foot cone of searing flame. Rendered in orange and gold flame. Suggest a cone of effect. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Chromatic Orb.png","Chromatic Orb","1","Evocation","An orb of elemental energy. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Guiding Bolt.png","Guiding Bolt","1","Evocation","A flash of light that leaves the target easier to hit. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Inflict Wounds.png","Inflict Wounds","1","Necromancy","Necrotic energy on touch. Grim, touching on death. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Witch Bolt.png","Witch Bolt","1","Evocation","An arc of lightning that persists. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Thunderwave.png","Thunderwave","1","Evocation","A 15-foot cube of thunderous force. Rendered in white-blue lightning. Suggest a cube of effect. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Dissonant Whispers.png","Dissonant Whispers","1","Enchantment","A discordant melody only the target hears. An influence over another's will. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Sleep.png","Sleep","1","Enchantment","Overwhelms creatures with few hit points; the strong are unaffected. Suggest a sphere of effect. An influence over another's will. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Cure Wounds.png","Cure Wounds","1","Abjuration","Healing by touch. Rendered in soft green-white healing light. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Healing Word.png","Healing Word","1","Abjuration","Healing at range, for a smaller die. Rendered in soft green-white healing light. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"False Life.png","False Life","1","Necromancy","A necromantic sheen of vitality. Rendered in soft green-white healing light. Grim, touching on death. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Mage Armor.png","Mage Armor","1","Abjuration","Protective force sets your armour class to 13 plus Dexterity. Rendered in translucent blue protective light. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Shield of Faith.png","Shield of Faith","1","Abjuration","A shimmering field wards the target. Rendered in translucent blue protective light. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Bless.png","Bless","1","Enchantment","Allies nearby add a d4 to attack rolls and saving throws. Rendered in warm golden radiance. Suggest a sphere of effect. An influence over another's will. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Bane.png","Bane","1","Enchantment","Enemies nearby subtract a d4 from attack rolls and saving throws. Suggest a sphere of effect. An influence over another's will. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Charm Person.png","Charm Person","1","Enchantment","Charms a humanoid that fails a Wisdom save. Rendered in violet psychic energy. An influence over another's will. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Detect Magic.png","Detect Magic","1","Divination","Senses magic nearby. Not yet modelled. An eye, a sigil, or revealed knowledge. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Shield.png","Shield","1","Abjuration","An invisible barrier briefly raises your armour class. Rendered in translucent blue protective light. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Faerie Fire.png","Faerie Fire","1","Evocation","Outlines creatures in light, granting advantage against them. Not yet modelled. Rendered in orange and gold flame. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Hunter's Mark.png","Hunter's Mark","1","Divination","Marks a quarry for extra damage. Not yet modelled. An eye, a sigil, or revealed knowledge. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Scorching Ray.png","Scorching Ray","2","Evocation","Three rays of fire; one more per slot level above 2nd. Rendered in orange and gold flame. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Shatter.png","Shatter","2","Evocation","A ringing burst of sound. Suggest a sphere of effect. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Moonbeam.png","Moonbeam","2","Evocation","A pillar of pale light. Suggest a sphere of effect. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Flaming Sphere.png","Flaming Sphere","2","Conjuration","A rolling sphere of fire. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Heat Metal.png","Heat Metal","2","Transmutation","Metal glows red hot. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Cloud of Daggers.png","Cloud of Daggers","2","Conjuration","Spinning blades fill a small space. Suggest a cube of effect. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Ray of Enfeeblement.png","Ray of Enfeeblement","2","Necromancy","A black beam saps the target's strength. Grim, touching on death. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Hold Person.png","Hold Person","2","Enchantment","Paralyses a humanoid that fails a Wisdom save. An influence over another's will. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Blindness-Deafness.png","Blindness/Deafness","2","Necromancy","Strikes a creature blind. Grim, touching on death. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Web.png","Web","2","Conjuration","Sticky strands fill the area. Suggest a cube of effect. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Invisibility.png","Invisibility","2","Illusion","The target fades from sight. Something half-real and shifting. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Barkskin.png","Barkskin","2","Transmutation","Bark-like skin sets armour class to 16. Rendered in translucent blue protective light. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Aid.png","Aid","2","Abjuration","Bolsters allies' vitality. Rendered in soft green-white healing light. Suggest a sphere of effect. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Prayer of Healing.png","Prayer of Healing","2","Abjuration","Healing for everyone nearby. Rendered in soft green-white healing light. Suggest a sphere of effect. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Lesser Restoration.png","Lesser Restoration","2","Abjuration","Cures disease, blindness, deafness, paralysis, or poison. Rendered in soft green-white healing light. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Misty Step.png","Misty Step","2","Conjuration","A short teleport. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Mirror Image.png","Mirror Image","2","Illusion","Illusory duplicates that make you harder to hit. Rendered in translucent blue protective light. Something half-real and shifting. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Spiritual Weapon.png","Spiritual Weapon","2","Evocation","A floating spectral weapon. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Silence.png","Silence","2","Illusion","Silence falls over the area. Suggest a sphere of effect. Something half-real and shifting. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Darkness.png","Darkness","2","Evocation","Magical darkness swallows the area. Suggest a sphere of effect. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Suggestion.png","Suggestion","2","Enchantment","A suggestion the target finds reasonable. Rendered in violet psychic energy. An influence over another's will. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Enhance Ability.png","Enhance Ability","2","Transmutation","Advantage on ability checks. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"See Invisibility.png","See Invisibility","2","Divination","Reveals the invisible. Not yet modelled. An eye, a sigil, or revealed knowledge. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Spider Climb.png","Spider Climb","2","Transmutation","Walk on walls and ceilings. Not yet modelled. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Pass without Trace.png","Pass without Trace","2","Abjuration","A veil that hides the party. Not yet modelled. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Knock.png","Knock","2","Transmutation","Opens a locked object. Not yet modelled. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Levitate.png","Levitate","2","Transmutation","Lifts a creature off the ground for ten minutes. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Darkvision.png","Darkvision","2","Transmutation","Grants sight in darkness for eight hours. Rendered in clear white light. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Magic Weapon.png","Magic Weapon","2","Transmutation","A weapon becomes magical. Not yet modelled. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Lightning Bolt.png","Lightning Bolt","3","Evocation","A stroke of lightning in a line. Rendered in white-blue lightning. Suggest a line of effect. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Call Lightning.png","Call Lightning","3","Conjuration","A bolt called down from a storm cloud. Rendered in white-blue lightning. Suggest a sphere of effect. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Spirit Guardians.png","Spirit Guardians","3","Conjuration","Spirits swirl around you, harrying your enemies. Suggest a sphere of effect. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Vampiric Touch.png","Vampiric Touch","3","Necromancy","A withering touch that feeds you. Grim, touching on death. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Fear.png","Fear","3","Illusion","A phantasm of terror in a cone. Rendered in violet psychic energy. Suggest a cone of effect. Something half-real and shifting. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Hypnotic Pattern.png","Hypnotic Pattern","3","Illusion","A twisting pattern that entrances onlookers. Suggest a cube of effect. Something half-real and shifting. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Stinking Cloud.png","Stinking Cloud","3","Conjuration","A cloud of nauseating gas. Suggest a sphere of effect. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Sleet Storm.png","Sleet Storm","3","Conjuration","Freezing rain and sleet make the ground treacherous. Rendered in white-blue lightning. Suggest a sphere of effect. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Slow.png","Slow","3","Transmutation","Time crawls for those who fail. Suggest a cube of effect. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Mass Healing Word.png","Mass Healing Word","3","Abjuration","A word of healing for everyone nearby. Rendered in soft green-white healing light. Suggest a sphere of effect. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Beacon of Hope.png","Beacon of Hope","3","Abjuration","Advantage on Wisdom saves and death saves. Suggest a sphere of effect. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Revivify.png","Revivify","3","Necromancy","Restores a creature that died recently. Rendered in soft green-white healing light. Grim, touching on death. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Dispel Magic.png","Dispel Magic","3","Abjuration","Ends spells on the target. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Counterspell.png","Counterspell","3","Abjuration","Interrupts a creature in the process of casting a spell. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Haste.png","Haste","3","Transmutation","Doubles speed and grants an extra action. Not yet modelled. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Fly.png","Fly","3","Transmutation","Grants a flying speed. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Protection from Energy.png","Protection from Energy","3","Abjuration","Resistance to one damage type. Rendered in translucent blue protective light. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Remove Curse.png","Remove Curse","3","Abjuration","Ends curses. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Water Breathing.png","Water Breathing","3","Transmutation","Breathe underwater. Not yet modelled. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Daylight.png","Daylight","3","Evocation","Bright light in a 60-foot radius. Rendered in warm golden radiance. Suggest a sphere of effect. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Animate Dead.png","Animate Dead","3","Necromancy","Raises a corpse as a servant. Not yet modelled. Grim, touching on death. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Tongues.png","Tongues","3","Divination","Understand any language. Not yet modelled. An eye, a sigil, or revealed knowledge. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Blight.png","Blight","4","Necromancy","Necrotic energy drains the target's life. Rendered in sickly green corrosion. Grim, touching on death. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Ice Storm.png","Ice Storm","4","Evocation","Hail hammers the ground. Rendered in pale blue ice and frost. Suggest a sphere of effect. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Wall of Fire.png","Wall of Fire","4","Evocation","A blazing wall of flame. Rendered in orange and gold flame. Suggest a line of effect. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Phantasmal Killer.png","Phantasmal Killer","4","Illusion","A vision of the target's deepest fear. Something half-real and shifting. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Confusion.png","Confusion","4","Enchantment","Minds unravel into aimless confusion. Suggest a sphere of effect. An influence over another's will. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Banishment.png","Banishment","4","Abjuration","Sends a creature to another plane. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Dominate Beast.png","Dominate Beast","4","Enchantment","Bends a beast to your will. Rendered in violet psychic energy. An influence over another's will. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Stoneskin.png","Stoneskin","4","Abjuration","Skin turns to stone. Rendered in translucent blue protective light. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Greater Invisibility.png","Greater Invisibility","4","Illusion","Invisibility that survives attacking. Something half-real and shifting. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Death Ward.png","Death Ward","4","Abjuration","Cheats death once. Not yet modelled. Rendered in cold green-black necrotic energy. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Dimension Door.png","Dimension Door","4","Conjuration","A long teleport. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Polymorph.png","Polymorph","4","Transmutation","Transforms a creature into a beast. Not yet modelled. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Freedom of Movement.png","Freedom of Movement","4","Abjuration","Removes paralysis and restraints. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Fire Shield.png","Fire Shield","4","Evocation","Resistance to cold or fire. Rendered in orange and gold flame. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Cone of Cold.png","Cone of Cold","5","Evocation","A blast of freezing air in a great cone. Rendered in pale blue ice and frost. Suggest a cone of effect. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Flame Strike.png","Flame Strike","5","Evocation","A column of divine fire. Rendered in orange and gold flame. Suggest a sphere of effect. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Cloudkill.png","Cloudkill","5","Conjuration","A fog of poison rolls outward. Suggest a sphere of effect. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Insect Plague.png","Insect Plague","5","Conjuration","A swarm of biting insects. Suggest a sphere of effect. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Hold Monster.png","Hold Monster","5","Enchantment","Paralyses any creature that fails a Wisdom save. An influence over another's will. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Dominate Person.png","Dominate Person","5","Enchantment","Seizes control of a humanoid. Rendered in violet psychic energy. An influence over another's will. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Contagion.png","Contagion","5","Necromancy","Inflicts a virulent disease. Rendered in sickly green corrosion. Grim, touching on death. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Mass Cure Wounds.png","Mass Cure Wounds","5","Abjuration","Healing for everyone nearby. Rendered in soft green-white healing light. Suggest a sphere of effect. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Greater Restoration.png","Greater Restoration","5","Abjuration","Ends a debilitating effect. Rendered in soft green-white healing light. A protective ward or barrier. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Raise Dead.png","Raise Dead","5","Necromancy","Returns a dead creature to life. Rendered in warm golden radiance. Grim, touching on death. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Wall of Force.png","Wall of Force","5","Evocation","An invisible wall nothing passes. Not yet modelled. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Telekinesis.png","Telekinesis","5","Transmutation","Move creatures and objects with your mind. Not yet modelled. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Scrying.png","Scrying","5","Divination","See a distant creature. Not yet modelled. An eye, a sigil, or revealed knowledge. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Animate Objects.png","Animate Objects","5","Transmutation","Objects rise and fight for you. Not yet modelled. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Disintegrate.png","Disintegrate","6","Transmutation","A thin green ray that reduces its target to dust. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Chain Lightning.png","Chain Lightning","6","Evocation","Lightning that leaps between targets. Rendered in white-blue lightning. Suggest a sphere of effect. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
